day,record_count
2022-01-25,3337
2022-01-24,3364
2022-01-23,5907
2022-01-22,5148
2022-01-21,4904
2022-01-20,8239
2022-01-19,6254
2022-01-18,2258
2022-01-17,2622
2022-01-16,5124
2022-01-15,3318
2022-01-14,2579
2022-01-13,2358
2022-01-12,2295
2022-01-11,2724
2022-01-10,2186
2022-01-09,4917
2022-01-08,4004
2022-01-07,2966
2022-01-06,3104
2022-01-05,3106
2022-01-04,3466
2022-01-03,3211
2022-01-02,4879
2022-01-01,3675
2021-12-31,2434
2021-12-30,3438
2021-12-29,4165
2021-12-28,3653
2021-12-27,2378
2021-12-26,2248
2021-12-25,1027
2021-12-24,731
2021-12-23,1106
2021-12-22,1269
2021-12-21,1181
2021-12-20,1083
2021-12-19,1962
2021-12-18,1049
2021-12-17,760
2021-12-16,898
2021-12-15,1052
2021-12-14,1289
2021-12-13,1140
2021-12-12,2501
2021-12-11,2260
2021-12-10,1533
2021-12-09,1122
2021-12-08,1443
2021-12-07,894
2021-12-06,988
2021-12-05,1601
2021-12-04,1239
2021-12-03,1007
2021-12-02,1054
2021-12-01,1405
2021-11-30,1279
2021-11-29,979
2021-11-28,1821
2021-11-27,1532
2021-11-26,1197
2021-11-25,1107
2021-11-24,1382
2021-11-23,1625
2021-11-22,2082
2021-11-21,3466
2021-11-20,2820
2021-11-19,2639
2021-11-18,2510
2021-11-17,1454
2021-11-16,1250
2021-11-15,1204
2021-11-14,2415
2021-11-13,1693
2021-11-12,824
2021-11-11,1888
2021-11-10,1751
2021-11-09,1600
2021-11-08,1582
2021-11-07,3059
2021-11-06,3094
2021-11-05,1324
2021-11-04,1509
2021-11-03,2004
2021-11-02,1628
2021-11-01,3351
2021-10-31,3126
2021-10-30,1997
2021-10-29,1871
2021-10-28,1811
2021-10-27,1688
2021-10-26,1883
2021-10-25,2439
2021-10-24,3777
2021-10-23,3357
2021-10-22,2497
2021-10-21,1765
2021-10-20,1877
2021-10-19,2090
2021-10-18,1810
2021-10-17,2703
2021-10-16,2057
2021-10-15,1529
2021-10-14,1644
2021-10-13,1958
2021-10-12,2086
2021-10-11,2247
2021-10-10,3563
2021-10-09,2334
2021-10-08,1740
2021-10-07,2085
2021-10-06,2015
2021-10-05,1857
2021-10-04,2083
2021-10-03,4231
2021-10-02,2980
2021-10-01,2519
2021-09-30,2012
2021-09-29,2012
2021-09-28,1813
2021-09-27,1967
2021-09-26,3336
2021-09-25,2237
2021-09-24,1447
2021-09-23,1574
2021-09-22,1450
2021-09-21,1488
2021-09-20,1836
2021-09-19,2801
2021-09-18,2809
2021-09-17,2934
2021-09-16,2841
2021-09-15,2152
2021-09-14,2320
2021-09-13,2428
2021-09-12,4103
2021-09-11,2997
2021-09-10,2278
2021-09-09,2084
2021-09-08,2186
2021-09-07,2067
2021-09-06,2432
2021-09-05,3761
2021-09-04,3902
2021-09-03,3210
2021-09-02,3630
2021-09-01,3308
2021-08-31,1941
2021-08-30,2123
2021-08-29,2980
2021-08-28,2071
2021-08-27,1461
2021-08-26,1426
2021-08-25,1434
2021-08-24,1497
2021-08-23,1382
2021-08-22,2219
2021-08-21,2331
2021-08-20,1716
2021-08-19,1933
2021-08-18,2538
2021-08-17,2255
2021-08-16,1531
2021-08-15,2091
2021-08-14,1477
2021-08-13,1920
2021-08-12,2154
2021-08-11,2361
2021-08-10,2199
2021-08-09,2341
2021-08-08,2491
2021-08-07,2058
2021-08-06,1951
2021-08-05,1965
2021-08-04,2062
2021-08-03,1783
2021-08-02,1598
2021-08-01,2276
2021-07-31,1513
2021-07-30,1387
2021-07-29,1324
2021-07-28,1463
2021-07-27,1897
2021-07-26,1580
2021-07-25,2162
2021-07-24,1857
2021-07-23,1340
2021-07-22,1419
2021-07-21,1197
2021-07-20,1528
2021-07-19,1626
2021-07-18,2343
2021-07-17,1766
2021-07-16,1625
2021-07-15,1608
2021-07-14,2235
2021-07-13,2114
2021-07-12,1204
2021-07-11,1883
2021-07-10,1787
2021-07-09,1646
2021-07-08,1601
2021-07-07,1568
2021-07-06,1860
2021-07-05,2015
2021-07-04,3004
2021-07-03,3000
2021-07-02,3034
2021-07-01,3758
2021-06-30,3825
2021-06-29,3628
2021-06-28,3279
2021-06-27,4214
2021-06-26,3274
2021-06-25,2907
2021-06-24,2740
2021-06-23,2906
2021-06-22,2859
2021-06-21,2354
2021-06-20,2653
2021-06-19,2333
